n;Validation Engine;serialNumber;val start;oph@start;Old PU first replaced OPH;Old PUs replaced before upgrade
0;ABINSK;1386177;02.03.2020;1845;1700;6
1;BLESSED TEXTILE;1393153;23.03.2020;7315;1862;3
2;ROCHE PENZBERG KWKK;1184199;27.04.2020;25208;0;0
3;BMW LANDSHUT 4.10;1320072;20.01.2020;6316;1742;4
4;ABINSK;1250575;15.06.2020;758;995;5
5;ABINSK;1386260;13.07.2020;6240;1015;6
6;BMW DINGOLFING 2.4;1352268;04.05.2020;5756;3216;2
7;BMW MÜNCHEN;1320022;08.06.2020;3985;0;0
8;KAMAL LIMITED;1393378;19.09.2020;11423;5248;1
9;BMW DINGOLFING 2.4;1352323;22.06.2020;6262;3029;2
10;POLYNT - 2 (1145166-T241) --> Sept;1145166;12.10.2020;31291;0;0
11;BMW MÜNCHEN;1319997;24.08.2020;4992;927;2
12;ECOGEN ENERGY SYSTEMS BVBA;1198719;15.10.2020;28583;10923;5
13;BMW REGENSBURG M5;1175579;14.09.2020;30402;0;0
14;PROSPERITY WEAVING MILLS LTD - 1 (1351388-X243);1250578;12.10.2020;0;0;0
15;Salmmeir 1;1415409;21.10.2020;6871;795;4
16;BMW REGENSBURG M3;1243360;17.08.2020;63893;17664;2
17;BMW MÜNCHEN;1320030;03.08.2020;5478;3115;2
18;ABINSK;1386147;11.12.2020;8225;0;0
19;BMW MÜNCHEN;1319151;06.07.2020;4108;2338;6
20;BMW LANDSHUT 4.10;1320114;24.02.2020;6494;3168;2
21;BMW REGENSBURG M2 ;1243362;07.09.2020;62765;4913;1
22;Salmmeir 2;1415410;02.10.2020;6580;729;8
23;BMW MÜNCHEN;1319138;20.07.2020;4292;775;4
24;FRONERI - FERENTINO;1361965;18.11.2020;7225;0;0
25;BMW MÜNCHEN;1319157;17.08.2020;4416;1636;4
26;BMW MÜNCHEN;1319133;31.08.2020;4532;0;0
27;GAZ DE LACQ;1345851;22.10.2020;7252;0;0
28;SOTERNIX RENOVE;1310773;25.09.2020;18439;0;0
29;Tomaver;1323894;08.12.2020;17880;0;0
30;LES COURONNERIES;1325927;09.09.2020;9804;0;0
31;BMW LANDSHUT M1;1320090;12.10.2020;8076;0;0
32;MEKOTEX;1252869;01.02.2021;0;0;0
33;Lallemand CHP 2;1350070;15.01.2021;15736;0;0
34;DALOMA;1339812;02.11.2020;5248;0;0
35;MEKOTEX;1247881;04.03.2021;29;0;0
36;EC MIELEC;1225799;25.02.2021;65756;0;0
37;BMW REGENSBURG M1;1250501;22.02.2021;64100;0;0
38;VITACRESS - RUNCTON CHP - 1;1199569;13.03.2021;22084;0;0
39;YUKON ENERGY CORP;1251805;09.11.2020;12;0;0
40;DEN BERK 3;1253867;09.04.2021;40592;0;0
41;Lallemand  CHP 1 ;1350073;16.04.2021;17371;0;0
42;BMW MÜNCHEN;1253381;15.04.2021;59101;0;0
43;TOM VILLE;1364066;25.09.2020;0;0;0
44;Beirinckx 3;1253542;12.04.2021;9138;0;0
45;PROLEITE - 1;1353238;27.04.2021;11938;0;0
46;Tomco 620 ;1368036;11.06.2021;10899;0;0
47;ABINSK;1479044;14.04.2021;0;0;0
48;ABINSK;1479063;14.04.2021;0;0;0
